28	Ron Howard	Jim Lovell#Jeffrey Kluger	Tom Hanks#Bill Paxton#Kevin Bacon	English	NASA must devise a strategy to return Apollo 13 to Earth safely after the spacecraft undergoes massive internal damage putting the lives of the three astronauts on board in jeopardy.
29	Joel Schumacher	Bob Kane#Lee Batchler	Val Kilmer#Tommy Lee Jones#Jim Carrey	USA#UK	Batman must battle former district attorney Harvey Dent, who is now Two-Face and Edward Nygma, The Riddler with help from an amorous psychologist and a young circus acrobat who becomes his sidekick, Robin.
30	Luis Buñuel	Joseph Kessel#Luis Buñuel	Catherine Deneuve#Jean Sorel#Michel Piccoli	French#Spanish#Mongolian	A frigid young housewife decides to spend her midweek afternoons as a prostitute.
31	Tony Scott	Michael Schiffer#Richard P. Henrick	Gene Hackman#Denzel Washington#Matt Craven	English	On a U.S. nuclear missile sub, a young First Officer stages a mutiny, to prevent his trigger happy Captain from launching his missiles, before confirming his orders to do so.
32	Terry Zwigoff	Robert Crumb#Aline Kominsky-Crumb#Charles Crumb	None	USA	An intimate portrait of controversial cartoonist Robert Crumb and his traumatized family.
33	Robert Rodriguez	Robert Rodriguez	Antonio Banderas#Salma Hayek#Joaquim de Almeida	English#Spanish	A gunslinger's embroiled in a war with a local drug runner.
34	Gregg Araki	Gregg Araki	James Duval#Rose McGowan#Johnathon Schaech	English	Jordan White and Amy Blue, two troubled teens, pick up an adolescent drifter, Xavier Red. Together, the threesome embark on a sex and violence-filled journey through an America of psychos and quickiemarts.
35	Dwight H. Little	Keith Walker#Karen Janszen	Jason James Richter#Michael Madsen#Francis Capra	English#Danish#Malay#Dutch#Indonesian#Finnish#Luxembourgish#French Sign Language	Teenager Jesse becomes reunited with Willy two years after the whale's jump to freedom as the teenager tries to rescue the killer whale and other orcas from an oil spill.
36	Antonia Bird	Paula Milne	Chris O'Donnell#Drew Barrymore#Matthew Lillard	English	The high-school student Matt Leland lives with his twin brother and sister and his father in a house by the lake. When the teenager Casey Roberts moves to the house on the other side of the...
37	Michael Almereyda	Michael Almereyda	Elina Löwensohn#Peter Fonda#Nic Ratner	English	This ultra-hip, post-modern vampire tale is set in contemporary New York City. Members of a dysfunctional family of vampires are trying to come to terms with each other, in the wake of ...
38	Irwin Winkler	John Brancato#Michael Ferris	Sandra Bullock#Jeremy Northam#Dennis Miller	English#Spanish	A computer programmer stumbles upon a conspiracy, putting her life and the lives of those around her in great danger.
39	Kathryn Bigelow	James Cameron#James Cameron	Ralph Fiennes#Angela Bassett#Juliette Lewis	English	A former cop turned street-hustler accidentally uncovers a conspiracy in Los Angeles in 1999.
40	Beeban Kidron	Douglas Carter Beane	Wesley Snipes#Patrick Swayze#John Leguizamo	English#French#Italian	Three drag queens travel cross-country until their car breaks down, leaving them stranded in a small town.
41	Tamra Davis	Tim Herlihy#Adam Sandler	Adam Sandler#Darren McGavin#Bridgette Wilson-Sampras	USA	In order to inherit his fed up father's hotel empire, an immature and lazy man must repeat grades 1-12 all over again.
42	Kevin Smith	Kevin Smith	Brian O'Halloran#Jeff Anderson#Marilyn Ghigliotti	USA	A day in the lives of two convenience clerks named Dante and Randal as they annoy customers, discuss movies, and play hockey on the store roof.
43	Barry Levinson	Michael Crichton#Paul Attanasio	Michael Douglas#Demi Moore#Donald Sutherland	English	A computer specialist is sued for sexual harassment by a former lover turned boss who initiated the act forcefully, which threatens both his career and his personal life.
44	Taylor Hackford	Stephen King#Tony Gilroy	Kathy Bates#Jennifer Jason Leigh#Christopher Plummer	English	A big-city reporter travels to the small town where her mother has been arrested for the murder of an elderly woman that she works for as a maid.
45	Ang Lee	Ang Lee#James Schamus	Sihung Lung#Kuei-Mei Yang#Yu-Wen Wang	Mandarin#French	A senior chef lives with his three grown daughters; the middle one finds her future plans affected by unexpected events and the life changes of the other household members.
46	Atom Egoyan	Atom Egoyan	Bruce Greenwood#Elias Koteas#Don McKellar	English#Hebrew	A man plagued by neuroses frequents the club, Exotica, trying to find solace - but even there his past hides among him.
47	Tim Burton	Rudolph Grey#Scott Alexander	Johnny Depp#Martin Landau#Sarah Jessica Parker	English	Ambitious but troubled movie director
48	Steve James	Steve James#Frederick Marx	William Gates#Arthur Agee#Emma Gates	English	A film following the lives of two inner-city Chicago boys who struggle to become college basketball players on the road to going professional.
49	Fred Schepisi	Andy Breckman#Andy Breckman	Tim Robbins#Meg Ryan#Walter Matthau	English#German	A mechanic romances the mathematician niece of physicist Albert Einstein, with help from Einstein and his friends.
50	None	None	None	IMDbPro	None
51	Edward Zwick	Susan Shilliday#William D. Wittliff	Brad Pitt#Anthony Hopkins#Aidan Quinn	English#Cornish	In the early 1900s, three brothers and their father living in the remote wilderness of Montana are affected by betrayal, history, love, nature, and war.
52	Nicholas Hytner	Alan Bennett#Alan Bennett	Nigel Hawthorne#Helen Mirren#Rupert Graves	English	When King George III goes mad, his Lieutenants try to adjust the rules to run the country without his participation.
53	Oliver Stone	Quentin Tarantino#David Veloz	Woody Harrelson#Juliette Lewis#Tom Sizemore	English#Navajo#Japanese	Two victims of traumatized childhoods become lovers and psychopathic serial murderers irresponsibly glorified by the mass media.
54	Wolfgang Petersen	Laurence Dworet#Robert Roy Pool	Dustin Hoffman#Rene Russo#Morgan Freeman	English#Korean#French	Army doctors struggle to find a cure for a deadly virus spreading throughout a California town that was brought to America by an African monkey.
55	Jonathan Katz#Tom Snyder	Jonathan Katz#H. Jon Benjamin#Laura Silverman	None	USA	A divorced father, he has custody of his 23-year-old slacker son Ben, who dreams of wealth and freedom but is too lazy to find a real job. Dr. Katz's receptionist is the acerbic Laura. He ...
56	Quentin Tarantino	Quentin Tarantino#Roger Avary	John Travolta#Uma Thurman#Samuel L. Jackson	USA	The lives of two mob hitmen, a boxer, a gangster & his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.
57	Antonia Bird	Jimmy McGovern	Linus Roache#Tom Wilkinson#Robert Carlyle	UK	A homosexual Catholic priest finds out during confessional that a young girl is being sexually abused by her father, and has to decide how to deal with both that secret and his own.
58	Robert Redford	Paul Attanasio#Richard N. Goodwin	Ralph Fiennes#John Turturro#Rob Morrow	English	A young lawyer, Richard Goodwin, investigates a potentially fixed game show. Charles Van Doren, a big time show winner, is under Goodwin's investigation.
59	Krzysztof Kieslowski	Krzysztof Kieslowski#Krzysztof Piesiewicz	Irène Jacob#Jean-Louis Trintignant#Frédérique Feder	French	A model discovers her neighbor is keen on invading people's privacy.
60	Krzysztof Kieslowski	Krzysztof Kieslowski#Krzysztof Piesiewicz	Juliette Binoche#Zbigniew Zamachowski#Julie Delpy	France#Poland#Switzerland	A woman struggles to find a way to live her life after the death of her husband and child.
61	Krzysztof Kieslowski	Krzysztof Kieslowski#Krzysztof Piesiewicz	Zbigniew Zamachowski#Julie Delpy#Janusz Gajos	Polish#French#English	After his wife divorces him, a Polish immigrant plots to get even with her.
62	Roland Emmerich	Dean Devlin#Roland Emmerich	Kurt Russell#James Spader#Jaye Davidson	USA#France	An interstellar teleportation device, found in Egypt, leads to a planet with humans resembling ancient Egyptians who worship the god Ra.
63	None	None	None	IMDbPro	None
64	Frank Darabont	Stephen King#Frank Darabont	Tim Robbins#Morgan Freeman#Bob Gunton	USA	Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency.
65	Lasse Hallström	Peter Hedges#Peter Hedges	Johnny Depp#Leonardo DiCaprio#Juliette Lewis	English	After his father's death, Gilbert has to care for his mentally-disabled brother, Arnie, and his morbidly obese mother. This situation is suddenly challenged though, when love unexpectedly walks into his life.
66	Jon Turteltaub	Daniel G. Sullivan#Fredric Lebow	Sandra Bullock#Bill Pullman#Peter Gallagher	English	A hopeless romantic Chicago Transit Authority token collector is mistaken for the fiancée of a coma patient.
67	Tom Shadyac	Jack Bernstein#Jack Bernstein	Jim Carrey#Courteney Cox#Sean Young	USA	A goofy detective specializing in animals goes in search of the missing mascot of the Miami Dolphins.
68	None	None	None	IMDbPro	None
69	Robert Zemeckis	Winston Groom#Eric Roth	Tom Hanks#Robin Wright#Gary Sinise	USA	The presidencies of Kennedy and Johnson, the events of Vietnam, Watergate, and other history unfold through the perspective of an Alabama man with an IQ of 75.
70	Mike Newell	Richard Curtis	Hugh Grant#Andie MacDowell#James Fleet	English#British Sign Language	Over the course of five social occasions, a committed bachelor must consider the notion that he may have discovered love.
71	Roger Allers#Rob Minkoff	Irene Mecchi#Jonathan Roberts	Matthew Broderick#Jeremy Irons#James Earl Jones	USA	A Lion cub crown prince is tricked by a treacherous uncle into thinking he caused his father's death and flees into exile in despair, only to learn in adulthood his identity and his responsibilities.
72	Quentin Tarantino	Quentin Tarantino#Roger Avary	John Travolta#Uma Thurman#Samuel L. Jackson	USA	The lives of two mob hitmen, a boxer, a gangster & his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.
73	Richard Donner	Roy Huggins#William Goldman	Mel Gibson#Jodie Foster#James Garner	English	Bret Maverick, needing money for a poker tournament, faces various comic mishaps and challenges, including a charming woman thief.
74	Russ Meyer	Jackie Moran#Russ Meyer	Tura Satana#Haji#Lori Williams	USA	Three go-go dancers holding a young girl hostage come across a crippled old man living with his two sons in the desert. After learning he's hiding a sum of cash around, the women start scheming on him.
75	Jefri Aalmuhammed#Jack Baxter	Jefri Aalmuhammed#Jack Baxter	Peter Bailey#Roscoe Lee Browne#John Henrik Clarke	USA	Brother Minister reveals the mystery surrounding the assassination of Malcolm X at the Audubon Ballroom in New York City on February 21, 1965. It probes the innocence of two of the ...
76	Brian De Palma	Edwin Torres#David Koepp	Al Pacino#Sean Penn#Penelope Ann Miller	USA	A Puerto Rican former convict, just released from prison, pledges to stay away from drugs and violence despite the pressure around him and lead on to a better life outside of N.Y.C.
77	Sydney Pollack	John Grisham#David Rabe	Tom Cruise#Jeanne Tripplehorn#Gene Hackman	English	A young lawyer joins a prestigious law firm only to discover that it has a sinister dark side.
78	Simon Wincer	Keith Walker#Keith Walker	Jason James Richter#Lori Petty#Michael Madsen	English	When a boy learns that a beloved killer whale is to be killed by the aquarium owners, the boy risks everything to free the whale.
79	Andrew Davis	Jeb Stuart#David Twohy	Harrison Ford#Tommy Lee Jones#Sela Ward	USA	Dr. Richard Kimble, unjustly accused of murdering his wife, must find the real killer while being the target of a nationwide manhunt led by a seasoned U.S. Marshal.
80	Jim Abrahams	Jim Abrahams#Pat Proft	Charlie Sheen#Lloyd Bridges#Valeria Golino	English	"Rambo" parody in which Topper Harley leads a rescue team into Iraq to save Iraqi war prisoners and all of their previous rescue teams.
81	None	None	None	English	None
82	Steven Spielberg	Michael Crichton#Michael Crichton	Sam Neill#Laura Dern#Jeff Goldblum	USA	During a preview tour, a theme park suffers a major power breakdown that allows its cloned dinosaur exhibits to run amok.
83	Kenneth Branagh	William Shakespeare#Kenneth Branagh	Kenneth Branagh#Emma Thompson#Keanu Reeves	English	Young lovers Hero and Claudio, soon to wed, conspire to get verbal sparring partners and confirmed singles Benedick and Beatrice to wed as well.
84	Stuart Orme	Robert A. Heinlein#Ted Elliott	Donald Sutherland#Eric Thal#Julie Warner	English	The Earth is invaded by stingray-shaped alien "slugs" that ride on people's backs and control their minds.
85	Ted Demme	Marie Weiss#Richard LaGravenese	Denis Leary#Judy Davis#Kevin Spacey	English	A cat burglar is forced to take a bickering, dysfunctional family hostage on Christmas Eve.
86	None	None	None	English	None
87	Steven Zaillian	Fred Waitzkin#Steven Zaillian	Joe Mantegna#Ben Kingsley#Max Pomeranc	English	A prepubescent chess prodigy refuses to harden himself in order to become a champion like the famous but unlikable Bobby Fischer.
88	Nora Ephron	Jeff Arch#Nora Ephron	Tom Hanks#Meg Ryan#Ross Malinger	English	A recently widowed man's son calls a radio talk-show in an attempt to find his father a partner.
89	Ridley Scott	Hampton Fancher#David Webb Peoples	Harrison Ford#Rutger Hauer#Sean Young	USA	A blade runner must pursue and terminate four replicants who stole a ship in space, and have returned to Earth to find their creator.
90	Thomas Schlamme	Robbie Fox	Mike Myers#Nancy Travis#Anthony LaPaglia	English#Russian	A San Francisco poet who fears commitment suspects his girlfriend may have a knack for killing off her significant others.
91	Henry Selick	Tim Burton#Michael McDowell	Danny Elfman#Chris Sarandon#Catherine O'Hara	USA	Jack Skellington, king of Halloween Town, discovers Christmas Town, but his attempts to bring Christmas to his home causes confusion.
92	Tony Scott	Quentin Tarantino	Christian Slater#Patricia Arquette#Dennis Hopper	USA#France	In Detroit, a lonely pop culture geek marries a call girl, steals cocaine from her pimp, and tries to sell it in Hollywood. Meanwhile, the owners of the cocaine, the Mob, track them down in an attempt to reclaim it.
93	Todd Solondz	Todd Solondz	Heather Matarazzo#Christina Brucato#Victoria Davis	English	An unattractive seventh grader struggles to cope with inattentive parents, snobbish classmates, a smart older brother, an attractive younger sister and her own insecurities in suburban New Jersey.
94	Chris Columbus	John Hughes	Macaulay Culkin#Joe Pesci#Daniel Stern	USA	An eight-year-old troublemaker must protect his house from a pair of burglars when he is accidentally left home alone by his family during Christmas vacation.
95	Ron Clements#John Musker	Ron Clements#John Musker	Scott Weinger#Robin Williams#Linda Larkin	USA	A kindhearted street urchin and a power-hungry Grand Vizier vie for a magic lamp that has the power to make their deepest wishes come true.
96	James Cameron	James Cameron#William Wisher	Arnold Schwarzenegger#Linda Hamilton#Edward Furlong	USA	A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her teenage son, John Connor, from a more advanced and powerful cyborg.
97	Kevin Costner	Michael Blake#Michael Blake	Kevin Costner#Mary McDonnell#Graham Greene	USA#UK	Lieutenant John Dunbar, assigned to a remote western Civil War outpost, befriends wolves and Indians, making him an intolerable aberration in the military.
98	None	None	None	Channel Awesome	None
99	William Cottrell#David Hand	Jacob Grimm#Wilhelm Grimm	Adriana Caselotti#Harry Stockwell#Lucille La Verne	USA	Exiled into the dangerous forest by her wicked stepmother, a princess is rescued by seven dwarf miners who make her part of their household.
100	Joel Coen#Ethan Coen	Ethan Coen#Joel Coen	William H. Macy#Frances McDormand#Steve Buscemi	USA#UK	Jerry Lundegaard's inept crime falls apart due to his and his henchmen's bungling and the persistent police work of the quite pregnant Marge Gunderson.
101	Gerald Potterton#John Bruno	Daniel Goldberg#Len Blum	Richard Romanus#John Candy#Joe Flaherty	Canada#USA	A glowing green orb - which embodies ultimate evil - terrorizes a young girl with an anthology of bizarre and fantastic stories of dark fantasy, eroticism and horror.
102	Wolfgang Reitherman	Larry Clemmons#Vance Gerry	Phil Harris#Eva Gabor#Sterling Holloway	USA	With the help of a smooth talking tomcat, a family of Parisian felines set to inherit a fortune from their owner try to make it back home after a jealous butler kidnaps them and leaves them in the country.
103	Don Bluth#Gary Goldman	Don Bluth#Ken Cromar	Dom DeLuise#Burt Reynolds#Judith Barsi	Ireland#UK#USA	A canine angel, Charlie, sneaks back to earth from heaven but ends up befriending an orphan girl who can speak to animals. In the process, Charlie learns that friendship is the most heavenly gift of all.
104	Jonathan R. Betuel	Jonathan R. Betuel	Whoopi Goldberg#Armin Mueller-Stahl#Juliet Landau	USA	In an alternate futuristic society, a tough female police detective is paired with a talking dinosaur to find the killer of dinosaurs and other prehistoric animals leading them to a mad scientist bent on creating a new Armageddon.
105	Jonathan Lynn	Nat Hiken#Andy Breckman	Steve Martin#Dan Aykroyd#Phil Hartman	English	Sgt. Bilko is a well-liked conman in charge of the army base's motor pool, developing a hover tank and unofficially of gambling etc. One man hates Bilko and he's coming to inspect the base for possible closure.
106	Jeremiah S. Chechik	Pierre Boileau#Thomas Narcejac	Sharon Stone#Isabelle Adjani#Chazz Palminteri	English#Spanish	The wife and mistress of the sadistic dean of an exclusive prep school conspire to murder him.
107	Pen Densham	Daniel Defoe#Pen Densham	Robin Wright#Morgan Freeman#Stockard Channing	English	The daughter of a thief, young Moll is placed in the care of a nunnery after the execution of her mother. However, the actions of an abusive priest lead Moll to rebel as a teenager, ...
108	Kelly Makin	Norm Hiscock#Bruce McCulloch	Dave Foley#Bruce McCulloch#Kevin McDonald	English	A pharmaceutical scientist creates a pill that makes people remember their happiest memory, and although it's successful, it has unfortunate side effects.
109	Jim Mallon	Michael J. Nelson#Trace Beaulieu	Trace Beaulieu#Michael J. Nelson#Jim Mallon	English	Mike Nelson and his robot companions watch and give their comments about
110	Simon Wincer	James Morris#Gene Quintano	Danny Glover#Ray Liotta#Denis Leary	USA	To keep the loyalty of a village during the Vietnam war, a U.S. Army officer and his unit struggle to deliver it a live elephant.
111	Michael Lehmann	Audrey Wells	Uma Thurman#Janeane Garofalo#Ben Chaplin	English	A successful veternarian & radio show host with low self-esteem asks her model friend to impersonate her when a handsome man wants to see her.
112	Alan Shapiro	Ricou Browning#Jack Cowden	Paul Hogan#Elijah Wood#Jonathan Banks	English	Sandy Ricks is sent by his mother to Coral Key, a rustic island in the Florida keys, to spend the summer with his uncle Porter Ricks. Sandy dislikes everything about his new environment ...
113	Jean-Paul Rappeneau	Jean Giono#Jean-Paul Rappeneau	Olivier Martinez#Juliette Binoche#Pierre Arditi	France	In a time of war and disease, a young officer gallantly tries to help a young woman find her husband.
114	Don DuPree	Roger Ebert#Gene Siskel	None	None	Siskel and Ebert review
115	Brett Thompson	Brett Thompson	Maila Nurmi#Dolores Fuller#Paul Marco	English	How was it possible that a movie like "Plan 9 from Outerspace" could be made? This documentary about Ed Wood Jr.'s masterpiece gives the answer.
116	John Schlesinger	Malcolm Bradbury#Stella Gibbons	Eileen Atkins#Kate Beckinsale#Sheila Burrell	English	A recently orphaned young woman goes to live with eccentric relatives in Sussex, where she sets about improving their gloomy lives.
117	Michael Bay	David Weisberg#Douglas Cook	Sean Connery#Nicolas Cage#Ed Harris	English	A mild-mannered chemist and an ex-con must lead the counterstrike when a rogue group of military men, led by a renegade general, threaten a nerve gas attack from Alcatraz against San Francisco.
118	Jan de Bont	Michael Crichton#Anne-Marie Martin	Helen Hunt#Bill Paxton#Cary Elwes	USA	Bill and Jo Harding, advanced storm chasers on the brink of divorce, must join together to create an advanced weather alert system by putting themselves in the cross-hairs of extremely violent tornadoes.
119	Freida Lee Mock	Freida Lee Mock	Maya Lin	English	A film about the work of the artist most famous for her monuments such as the Vietnam Memorial Wall and the Civil Rights Fountain Memorial.
120	Andrew Bergman	Carl Hiaasen#Andrew Bergman	Demi Moore#Burt Reynolds#Armand Assante	USA	A stripper and single mother gets dragged into a dangerous situation after a congressman takes a fancy to her.
121	Roland Emmerich	Dean Devlin#Roland Emmerich	Will Smith#Bill Pullman#Jeff Goldblum	USA	The aliens are coming and their goal is to invade and destroy Earth. Fighting superior technology, mankind's best weapon is the will to survive.
122	Ben Stiller	Lou Holtz Jr.	Jim Carrey#Matthew Broderick#Leslie Mann	USA	A lonely and mentally disturbed cable guy raised on television just wants a new friend, but his target, a designer, rejects him, with bad consequences.
123	None	None	None	IMDbPro	None
124	John Sayles	John Sayles	Chris Cooper#Elizabeth Peña#Stephen Mendillo	English#Spanish	When the skeleton of his murdered predecessor is found, Sheriff Sam Deeds unearths many other long-buried secrets in his Texas border town.
125	Jon Turteltaub	Gerald Di Pego	John Travolta#Kyra Sedgwick#Forest Whitaker	English	An ordinary man sees a bright light descend from the sky, and discovers he now has super-intelligence and telekinesis.
126	Lee David Zlotoff	Lee David Zlotoff	Alison Elliott#Ellen Burstyn#Marcia Gay Harden	English	Percy, upon being released from prison, goes to the small town of Gillead, to find a place where she can start over again. She is taken in by Hannah, to help out at her place, the Spitfire ...
127	Francis Ford Coppola	Mario Puzo#Francis Ford Coppola	Marlon Brando#Al Pacino#James Caan	USA	The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.
128	John Woo	John Woo#Barry Wong	Yun-Fat Chow#Tony Chiu-Wai Leung#Teresa Mo	Cantonese#English	A tough-as-nails cop teams up with an undercover agent to shut down a sinister mobster and his crew.
129	Lana Wachowski#Lilly Wachowski	Lilly Wachowski#Lana Wachowski	Jennifer Tilly#Gina Gershon#Joe Pantoliano	English#Italian	Corky, a tough female ex con and her lover Violet concoct a scheme to steal millions of stashed mob money and pin the blame on Violet's crooked boyfriend Caesar.
130	Robert Altman	Robert Altman#Frank Barhydt	Jennifer Jason Leigh#Miranda Richardson#Harry Belafonte	USA#France	A pair of kidnappings expose the complex power dynamics within the corrupt and unpredictable workings of 1930s Kansas City.
131	Blake Edwards	Truman Capote#George Axelrod	Audrey Hepburn#George Peppard#Patricia Neal	USA	A young New York socialite becomes interested in a young man who has moved into her apartment building, but her past threatens to get in the way.
132	Angela Beeching	L. Frank Baum#Alfred Bradley	Bernard Cribbins	None	
133	Victor Fleming#George Cukor	Margaret Mitchell#Sidney Howard	Clark Gable#Vivien Leigh#Thomas Mitchell	USA	A manipulative woman and a roguish man conduct a turbulent romance during the American Civil War and Reconstruction periods.
134	Orson Welles	Herman J. Mankiewicz#Orson Welles	Orson Welles#Joseph Cotten#Dorothy Comingore	USA	Following the death of publishing tycoon, Charles Foster Kane, reporters scramble to uncover the meaning of his final utterance; 'Rosebud'.
135	Stanley Kubrick	Stanley Kubrick#Arthur C. Clarke	Keir Dullea#Gary Lockwood#William Sylvester	UK#USA	After discovering a mysterious artifact buried beneath the Lunar surface, mankind sets off on a quest to find its origins with help from intelligent supercomputer H.A.L. 9000.
136	Frank Capra	Sidney Buchman#Lewis R. Foster	James Stewart#Jean Arthur#Claude Rains	English	A naive man is appointed to fill a vacancy in the United States Senate. His plans promptly collide with political corruption, but he doesn't back down.
137	Campbell Scott#Stanley Tucci	Stanley Tucci#Joseph Tropiano	Tony Shalhoub#Stanley Tucci#Marc Anthony	English#Italian	New Jersey, 1950s. Two brothers run an Italian restaurant. Business is not going well as a rival Italian restaurant is out-competing them. In a final effort to save the restaurant, the brothers plan to put on an evening of incredible food.
138	Robert Lieberman	Steven Brill#Kenneth Johnson	Emilio Estevez#Jeffrey Nordling#David Selby	USA	The unruly team of hockey misfits grows up a bit and receives scholarships to a prestigious prep school, where they take on the snotty varsity team.
139	Peyton Reed	Gordon Buford#Bill Walsh	Bruce Campbell#John Hannah#Alexandra Wentworth	English	Herbie, the magical Volkswagen Beetle, is passed on to a new owner. Together, they must battle a dastardly racer and his devil-car "Horace", an evil Herbie.
140	Duwayne Dunham	Sheila Burnford#Caroline Thompson	Michael J. Fox#Sally Field#Don Alder	USA	Three pets escape from a California ranch to find their owners in San Francisco.
141	Richard Fleischer	Earl Felton	Kirk Douglas#James Mason#Paul Lukas	USA	A ship sent to investigate a wave of mysterious sinkings encounters the advanced submarine, the Nautilus, commanded by Captain Nemo.
142	Robert Stevenson	Ralph Wright#Ted Berman	Angela Lansbury#David Tomlinson#Roddy McDowall	USA	An apprentice witch, three kids and a cynical magician conman search for the missing component to a magic spell to be used in the defense of Britain in WWII.
