22	Braveheart (1995)	/title/tt0112573/?ref_=fn_al_tt_1	Braveheart	(1995)
23	Taxi Driver (1976)	/title/tt0075314/?ref_=fn_al_tt_1	Taxi Driver	(1976)
24	Rumble in the Bronx (1995)	/title/tt0113326/?ref_=fn_al_tt_1	Hung fan kui	(1995)
25	Birdcage, The (1996)	/title/tt0115685/?ref_=fn_al_tt_1	The Birdcage	(1996)
26	Brothers McMullen, The (1995)	/title/tt6155832/?ref_=fn_al_tt_1	Something to Talk About/Unzipped/Virtuosity/A Walk in the Clouds/The Brothers McMullen/Double Happiness
27	Bad Boys (1995)	/title/tt0112442/?ref_=fn_al_tt_1	Bad Boys	(1995)
28	Apollo 13 (1995)	/title/tt0112384/?ref_=fn_al_tt_1	Apollo 13	(I) (1995)
29	Batman Forever (1995)	/title/tt0112462/?ref_=fn_al_tt_1	Batman Forever	(1995)
30	Belle de jour (1967)	/title/tt0061395/?ref_=fn_al_tt_1	Belle de jour	(1967)
31	Crimson Tide (1995)	/title/tt0112740/?ref_=fn_al_tt_1	Crimson Tide	(1995)
32	Crumb (1994)	/title/tt0109508/?ref_=fn_al_tt_1	Crumb	(1994)
33	Desperado (1995)	/title/tt0112851/?ref_=fn_al_tt_1	Desperado	(1995)
34	Doom Generation, The (1995)	/title/tt0112887/?ref_=fn_al_tt_1	The Doom Generation	(1995)
35	Free Willy 2: The Adventure Home (1995)	/title/tt0113114/?ref_=fn_al_tt_1	Free Willy 2: The Adventure Home	(1995)
36	Mad Love (1995)	/title/tt0113729/?ref_=fn_al_tt_1	Mad Love	(1995)
37	Nadja (1994)	/title/tt0110620/?ref_=fn_al_tt_1	Nadja	(1994)
38	Net, The (1995)	/title/tt0113957/?ref_=fn_al_tt_1	The Net	(1995)
39	Strange Days (1995)	/title/tt0114558/?ref_=fn_al_tt_1	Strange Days	(1995)
40	To Wong Foo, Thanks for Everything! Julie Newmar (1995)	/title/tt0114682/?ref_=fn_al_tt_1	To Wong Foo Thanks for Everything, Julie Newmar	(1995)
41	Billy Madison (1995)	/title/tt0112508/?ref_=fn_al_tt_1	Billy Madison	(1995)
42	Clerks (1994)	/title/tt0109445/?ref_=fn_al_tt_1	Clerks	(1994)
43	Disclosure (1994)	/title/tt0109635/?ref_=fn_al_tt_1	Disclosure	(1994)
44	Dolores Claiborne (1994)	/title/tt0109642/?ref_=fn_al_tt_1	Dolores Claiborne	(1995)
45	Eat Drink Man Woman (1994)	/title/tt0111797/?ref_=fn_al_tt_1	Yin shi nan nu	(1994)
46	Exotica (1994)	/title/tt0109759/?ref_=fn_al_tt_1	Exotica	(1994)
47	Ed Wood (1994)	/title/tt0109707/?ref_=fn_al_tt_1	Ed Wood	(1994)
48	Hoop Dreams (1994)	/title/tt0110057/?ref_=fn_al_tt_1	Hoop Dreams	(1994)
49	I.Q. (1994)	/title/tt0110099/?ref_=fn_al_tt_1	I.Q.	(1994)
50	Star Wars (1977)	/title/tt6855750/?ref_=fn_al_tt_1	Star Wars (1977)
51	Legends of the Fall (1994)	/title/tt0110322/?ref_=fn_al_tt_1	Legends of the Fall	(1994)
52	Madness of King George, The (1994)	/title/tt0110428/?ref_=fn_al_tt_1	The Madness of King George	(1994)
53	Natural Born Killers (1994)	/title/tt0110632/?ref_=fn_al_tt_1	Natural Born Killers	(1994)
54	Outbreak (1995)	/title/tt0114069/?ref_=fn_al_tt_1	Outbreak	(1995)
55	Professional, The (1994)	/title/tt0111942/?ref_=fn_al_tt_1	Dr. Katz, Professional Therapist	(1995) (TV Series)
56	Pulp Fiction (1994)	/title/tt0110912/?ref_=fn_al_tt_1	Pulp Fiction	(1994)
57	Priest (1994)	/title/tt0110889/?ref_=fn_al_tt_1	Priest	(1994)
58	Quiz Show (1994)	/title/tt0110932/?ref_=fn_al_tt_1	Quiz Show	(1994)
59	Three Colors: Red (1994)	/title/tt0111495/?ref_=fn_al_tt_1	Trois couleurs: Rouge	(1994)
60	Three Colors: Blue (1993)	/title/tt0108394/?ref_=fn_al_tt_1	Trois couleurs: Bleu	(1993)
61	Three Colors: White (1994)	/title/tt0111507/?ref_=fn_al_tt_1	Trois couleurs: Blanc	(1994)
62	Stargate (1994)	/title/tt0111282/?ref_=fn_al_tt_1	Stargate	(1994)
63	Santa Clause, The (1994)	/title/tt5267640/?ref_=fn_al_tt_1	Desparate House - "The Hope of Children Is Santa Claus"
64	Shawshank Redemption, The (1994)	/title/tt0111161/?ref_=fn_al_tt_1	The Shawshank Redemption	(1994)
65	What's Eating Gilbert Grape (1993)	/title/tt0108550/?ref_=fn_al_tt_1	What's Eating Gilbert Grape	(1993)
66	While You Were Sleeping (1995)	/title/tt0114924/?ref_=fn_al_tt_1	While You Were Sleeping	(1995)
67	Ace Ventura: Pet Detective (1994)	/title/tt0109040/?ref_=fn_al_tt_1	Ace Ventura: Pet Detective	(1994)
68	Crow, The (1994)	/title/tt6819318/?ref_=fn_al_tt_1	The Crow (1994)
69	Forrest Gump (1994)	/title/tt0109830/?ref_=fn_al_tt_1	Forrest Gump	(1994)
70	Four Weddings and a Funeral (1994)	/title/tt0109831/?ref_=fn_al_tt_1	Four Weddings and a Funeral	(1994)
71	Lion King, The (1994)	/title/tt0110357/?ref_=fn_al_tt_1	The Lion King	(1994)
72	Mask, The (1994)	/title/tt0110912/?ref_=fn_al_tt_1	Pulp Fiction	(1994)
73	Maverick (1994)	/title/tt0110478/?ref_=fn_al_tt_1	Maverick	(1994)
74	Faster Pussycat! Kill! Kill! (1965)	/title/tt0059170/?ref_=fn_al_tt_1	Faster, Pussycat! Kill! Kill!	(1965)
75	Brother Minister: The Assassination of Malcolm X (1994)	/title/tt0109339/?ref_=fn_al_tt_1	Brother Minister: The Assassination of Malcolm X	(1994)
76	Carlito's Way (1993)	/title/tt0106519/?ref_=fn_al_tt_1	Carlito's Way	(1993)
77	Firm, The (1993)	/title/tt0106918/?ref_=fn_al_tt_1	The Firm	(1993)
78	Free Willy (1993)	/title/tt0106965/?ref_=fn_al_tt_1	Free Willy	(1993)
79	Fugitive, The (1993)	/title/tt0106977/?ref_=fn_al_tt_1	The Fugitive	(1993)
80	Hot Shots! Part Deux (1993)	/title/tt0107144/?ref_=fn_al_tt_1	Hot Shots! Part Deux	(1993)
81	Hudsucker Proxy, The (1994)	/title/tt0476515/?ref_=fn_al_tt_1	'The Hudsucker Proxy': The Making of a Fairy Tale
82	Jurassic Park (1993)	/title/tt0107290/?ref_=fn_al_tt_1	Jurassic Park	(1993)
83	Much Ado About Nothing (1993)	/title/tt0107616/?ref_=fn_al_tt_1	Much Ado About Nothing	(1993)
84	Robert A. Heinlein's The Puppet Masters (1994)	/title/tt0111003/?ref_=fn_al_tt_1	The Puppet Masters	(1994)
85	Ref, The (1994)	/title/tt0110955/?ref_=fn_al_tt_1	The Ref	(1994)
86	Remains of the Day, The (1993)	/title/tt0452387/?ref_=fn_al_tt_1	The Remains of the Day: The Filmmaker's Journey	(2001) (Video)
87	Searching for Bobby Fischer (1993)	/title/tt0108065/?ref_=fn_al_tt_1	Searching for Bobby Fischer	(1993)
88	Sleepless in Seattle (1993)	/title/tt0108160/?ref_=fn_al_tt_1	Sleepless in Seattle	(1993)
89	Blade Runner (1982)	/title/tt0083658/?ref_=fn_al_tt_1	Blade Runner	(1982)
90	So I Married an Axe Murderer (1993)	/title/tt0108174/?ref_=fn_al_tt_1	So I Married an Axe Murderer	(1993)
91	Nightmare Before Christmas, The (1993)	/title/tt0107688/?ref_=fn_al_tt_1	The Nightmare Before Christmas	(1993)
92	True Romance (1993)	/title/tt0108399/?ref_=fn_al_tt_1	True Romance	(1993)
93	Welcome to the Dollhouse (1995)	/title/tt0114906/?ref_=fn_al_tt_1	Welcome to the Dollhouse	(1995)
94	Home Alone (1990)	/title/tt0099785/?ref_=fn_al_tt_1	Home Alone	(1990)
95	Aladdin (1992)	/title/tt0103639/?ref_=fn_al_tt_1	Aladdin	(1992)
96	Terminator 2: Judgment Day (1991)	/title/tt0103064/?ref_=fn_al_tt_1	Terminator 2: Judgment Day	(1991)
97	Dances with Wolves (1990)	/title/tt0099348/?ref_=fn_al_tt_1	Dances with Wolves	(1990)
98	Silence of the Lambs, The (1991)	/title/tt3645740/?ref_=fn_al_tt_1	Silence of the Lambs/The Grand Budapest Hotel
99	Snow White and the Seven Dwarfs (1937)	/title/tt0029583/?ref_=fn_al_tt_1	Snow White and the Seven Dwarfs	(1937)
100	Fargo (1996)	/title/tt0116282/?ref_=fn_al_tt_1	Fargo	(1996)
101	Heavy Metal (1981)	/title/tt0082509/?ref_=fn_al_tt_1	Heavy Metal	(1981)
102	Aristocats, The (1970)	/title/tt0065421/?ref_=fn_al_tt_1	The AristoCats	(1970)
103	All Dogs Go to Heaven 2 (1996)	/title/tt0096787/?ref_=fn_al_tt_1	All Dogs Go to Heaven	(1989)
104	Theodore Rex (1995)	/title/tt0114658/?ref_=fn_al_tt_1	Theodore Rex	(1995)
105	Sgt. Bilko (1996)	/title/tt0117608/?ref_=fn_al_tt_1	Sgt. Bilko	(1996)
106	Diabolique (1996)	/title/tt0116095/?ref_=fn_al_tt_1	Diabolique	(1996)
107	Moll Flanders (1996)	/title/tt0117071/?ref_=fn_al_tt_1	Moll Flanders	(1996)
108	Kids in the Hall: Brain Candy (1996)	/title/tt0116768/?ref_=fn_al_tt_1	Kids in the Hall: Brain Candy	(1996)
109	Mystery Science Theater 3000: The Movie (1996)	/title/tt0117128/?ref_=fn_al_tt_1	Mystery Science Theater 3000: The Movie	(1996)
110	Operation Dumbo Drop (1995)	/title/tt0114048/?ref_=fn_al_tt_1	Operation Dumbo Drop	(1995)
111	Truth About Cats & Dogs, The (1996)	/title/tt0117979/?ref_=fn_al_tt_1	The Truth About Cats & Dogs	(1996)
112	Flipper (1996)	/title/tt0116322/?ref_=fn_al_tt_1	Flipper	(1996)
113	Horseman on the Roof, The (Hussard sur le toit, Le) (1995)	/title/tt0113362/?ref_=fn_al_tt_1	Le hussard sur le toit	(1995)
114	Wallace & Gromit: The Best of Aardman Animation (1996)	/title/tt2185063/?ref_=fn_al_tt_1	Eraser/Wallace and Gromit: The Best of Aardman Animation/The Hunchback of Notre Dame/Lone Star/Nelly and Monsieur Arnaud
115	Haunted World of Edward D. Wood Jr., The (1995)	/title/tt0113270/?ref_=fn_al_tt_1	The Haunted World of Edward D. Wood Jr.	(1995)
116	Cold Comfort Farm (1995)	/title/tt0112701/?ref_=fn_al_tt_1	Cold Comfort Farm	(1995) (TV Movie)
117	Rock, The (1996)	/title/tt0117500/?ref_=fn_al_tt_1	The Rock	(1996)
118	Twister (1996)	/title/tt0117998/?ref_=fn_al_tt_1	Twister	(I) (1996)
119	Maya Lin: A Strong Clear Vision (1994)	/title/tt0110480/?ref_=fn_al_tt_1	Maya Lin: A Strong Clear Vision	(1994)
120	Striptease (1996)	/title/tt0117765/?ref_=fn_al_tt_1	Striptease	(1996)
121	Independence Day (ID4) (1996)	/title/tt0116629/?ref_=fn_al_tt_1	Independence Day	(1996)
122	Cable Guy, The (1996)	/title/tt0115798/?ref_=fn_al_tt_1	The Cable Guy	(1996)
123	Frighteners, The (1996)	/title/tt6819266/?ref_=fn_al_tt_1	The Frighteners (1996)
124	Lone Star (1996)	/title/tt0116905/?ref_=fn_al_tt_1	Lone Star	(1996)
125	Phenomenon (1996)	/title/tt0117333/?ref_=fn_al_tt_1	Phenomenon	(1996)
126	Spitfire Grill, The (1996)	/title/tt0117718/?ref_=fn_al_tt_1	The Spitfire Grill	(1996)
127	Godfather, The (1972)	/title/tt0068646/?ref_=fn_al_tt_1	The Godfather	(1972)
128	Supercop (1992)	/title/tt0104684/?ref_=fn_al_tt_1	Lat sau san taam	(1992)
129	Bound (1996)	/title/tt0115736/?ref_=fn_al_tt_1	Bound	(1996)
130	Kansas City (1996)	/title/tt0116745/?ref_=fn_al_tt_1	Kansas City	(1996)
131	Breakfast at Tiffany's (1961)	/title/tt0054698/?ref_=fn_al_tt_1	Breakfast at Tiffany's	(1961)
132	Wizard of Oz, The (1939)	/title/tt0780353/?ref_=fn_al_tt_1	The Wizard of Oz: The Field of Poppies
133	Gone with the Wind (1939)	/title/tt0031381/?ref_=fn_al_tt_1	Gone with the Wind	(1939)
134	Citizen Kane (1941)	/title/tt0033467/?ref_=fn_al_tt_1	Citizen Kane	(1941)
135	2001: A Space Odyssey (1968)	/title/tt0062622/?ref_=fn_al_tt_1	2001: A Space Odyssey	(1968)
136	Mr. Smith Goes to Washington (1939)	/title/tt0031679/?ref_=fn_al_tt_1	Mr. Smith Goes to Washington	(1939)
137	Big Night (1996)	/title/tt0115678/?ref_=fn_al_tt_1	Big Night	(1996)
138	D3: The Mighty Ducks (1996)	/title/tt0116000/?ref_=fn_al_tt_1	D3: The Mighty Ducks	(1996)
139	Love Bug, The (1969)	/title/tt0119571/?ref_=fn_al_tt_1	None	None
140	Homeward Bound: The Incredible Journey (1993)	/title/tt0107131/?ref_=fn_al_tt_1	Homeward Bound: The Incredible Journey	(1993)
141	20,000 Leagues Under the Sea (1954)	/title/tt0046672/?ref_=fn_al_tt_1	20,000 Leagues Under the Sea	(1954)
142	Bedknobs and Broomsticks (1971)	/title/tt0066817/?ref_=fn_al_tt_1	Bedknobs and Broomsticks	(1971)
143	Sound of Music, The (1965)	/title/tt0059742/?ref_=fn_al_tt_1	The Sound of Music	(1965)
144	Die Hard (1988)	/title/tt0095016/?ref_=fn_al_tt_1	Die Hard	(1988)
145	Lawnmower Man, The (1992)	/title/tt0104692/?ref_=fn_al_tt_1	The Lawnmower Man	(1992)
146	Unhook the Stars (1996)	/title/tt0118044/?ref_=fn_al_tt_1	Unhook the Stars	(1996)
147	Long Kiss Goodnight, The (1996)	/title/tt0116908/?ref_=fn_al_tt_1	The Long Kiss Goodnight	(1996)
148	Ghost and the Darkness, The (1996)	/title/tt0116409/?ref_=fn_al_tt_1	The Ghost and the Darkness	(1996)
149	Jude (1996)	/title/tt0116722/?ref_=fn_al_tt_1	Jude	(1996)
150	Swingers (1996)	/title/tt0117802/?ref_=fn_al_tt_1	Swingers	(1996)
151	Willy Wonka and the Chocolate Factory (1971)	/title/tt0067992/?ref_=fn_al_tt_1	Willy Wonka & the Chocolate Factory	(1971)
152	Sleeper (1973)	/title/tt0070707/?ref_=fn_al_tt_1	Sleeper	(1973)
153	Fish Called Wanda, A (1988)	/title/tt0095159/?ref_=fn_al_tt_1	A Fish Called Wanda	(1988)
154	Monty Python's Life of Brian (1979)	/title/tt0079470/?ref_=fn_al_tt_1	Life of Brian	(1979)
155	Dirty Dancing (1987)	/title/tt0092890/?ref_=fn_al_tt_1	Dirty Dancing	(1987)
156	Reservoir Dogs (1992)	/title/tt0105236/?ref_=fn_al_tt_1	Reservoir Dogs	(1992)
157	Platoon (1986)	/title/tt0091763/?ref_=fn_al_tt_1	Platoon	(1986)
158	Weekend at Bernie's (1989)	/title/tt0098627/?ref_=fn_al_tt_1	Weekend at Bernie's	(1989)
159	Basic Instinct (1992)	/title/tt0103772/?ref_=fn_al_tt_1	Basic Instinct	(1992)
160	Glengarry Glen Ross (1992)	/title/tt0104348/?ref_=fn_al_tt_1	Glengarry Glen Ross	(1992)
161	Top Gun (1986)	/title/tt0092099/?ref_=fn_al_tt_1	Top Gun	(1986)
162	On Golden Pond (1981)	/title/tt0082846/?ref_=fn_al_tt_1	On Golden Pond	(1981)
163	Return of the Pink Panther, The (1974)	/title/tt0072081/?ref_=fn_al_tt_1	The Return of the Pink Panther	(1975)
164	Abyss, The (1989)	/title/tt0096754/?ref_=fn_al_tt_1	The Abyss	(1989)
165	Jean de Florette (1986)	/title/tt0091288/?ref_=fn_al_tt_1	Jean de Florette	(1986)
166	Manon of the Spring (Manon des sources) (1986)	/title/tt0091480/?ref_=fn_al_tt_1	Manon des sources	(1986)
167	Private Benjamin (1980)	/title/tt0081375/?ref_=fn_al_tt_1	Private Benjamin	(1980)
168	Monty Python and the Holy Grail (1974)	/title/tt0071853/?ref_=fn_al_tt_1	Monty Python and the Holy Grail	(1975)
169	Wrong Trousers, The (1993)	/title/tt0108598/?ref_=fn_al_tt_1	The Wrong Trousers	(1993) (Short)
170	Cinema Paradiso (1988)	/title/tt0095765/?ref_=fn_al_tt_1	Nuovo Cinema Paradiso	(1988)
171	Delicatessen (1991)	/title/tt0101700/?ref_=fn_al_tt_1	Delicatessen	(1991)
172	Empire Strikes Back, The (1980)	/title/tt2266455/?ref_=fn_al_tt_1	Empire Strikes Back
173	Princess Bride, The (1987)	/title/tt7716840/?ref_=fn_al_tt_1	The Princess Bride: The Untold Tales	(2007) (Video)
174	Raiders of the Lost Ark (1981)	/title/tt0082971/?ref_=fn_al_tt_1	Raiders of the Lost Ark	(1981)
175	Brazil (1985)	/title/tt0088846/?ref_=fn_al_tt_1	Brazil	(1985)
176	Aliens (1986)	/title/tt0090605/?ref_=fn_al_tt_1	Aliens	(1986)
177	Good, The Bad and The Ugly, The (1966)	/title/tt4666816/?ref_=fn_al_tt_1	Valentine's Day: The Good, the Bad and the Ugly	(2015) (Short)
178	12 Angry Men (1957)	/title/tt0050083/?ref_=fn_al_tt_1	12 Angry Men	(1957)
179	Clockwork Orange, A (1971)	/title/tt0066921/?ref_=fn_al_tt_1	A Clockwork Orange	(1971)
180	Apocalypse Now (1979)	/title/tt0078788/?ref_=fn_al_tt_1	Apocalypse Now	(1979)
181	Return of the Jedi (1983)	/title/tt2301123/?ref_=fn_al_tt_1	Return of the Jedi	(1983) (Video Game)
182	GoodFellas (1990)	/title/tt0099685/?ref_=fn_al_tt_1	Goodfellas	(1990)
183	Alien (1979)	/title/tt0078748/?ref_=fn_al_tt_1	Alien	(1979)
184	Army of Darkness (1993)	/title/tt0106308/?ref_=fn_al_tt_1	Army of Darkness	(1992)
185	Psycho (1960)	/title/tt0054215/?ref_=fn_al_tt_1	Psycho	(1960)
186	Blues Brothers, The (1980)	/title/tt6699420/?ref_=fn_al_tt_1	The Blues Brothers/The Girl I Want
187	Godfather: Part II, The (1974)	/title/tt0071562/?ref_=fn_al_tt_1	The Godfather: Part II	(1974)
188	Full Metal Jacket (1987)	/title/tt0093058/?ref_=fn_al_tt_1	Full Metal Jacket	(1987)
189	Grand Day Out, A (1992)	/title/tt0104361/?ref_=fn_al_tt_1	None	None
190	Henry V (1989)	/title/tt0097499/?ref_=fn_al_tt_1	Henry V	(1989)
191	Amadeus (1984)	/title/tt0086879/?ref_=fn_al_tt_1	Amadeus	(1984)
192	Raging Bull (1980)	/title/tt0081398/?ref_=fn_al_tt_1	Raging Bull	(1980)
193	Right Stuff, The (1983)	/title/tt1453707/?ref_=fn_al_tt_1	Russian Right Stuff: The Mission
194	Sting, The (1973)	/title/tt0070735/?ref_=fn_al_tt_1	The Sting	(1973)
195	Terminator, The (1984)	/title/tt0851851/?ref_=fn_al_tt_1	Terminator: The Sarah Connor Chronicles	(2008) (TV Series)
196	Dead Poets Society (1989)	/title/tt0097165/?ref_=fn_al_tt_1	Dead Poets Society	(1989)
197	Graduate, The (1967)	/title/tt0061722/?ref_=fn_al_tt_1	The Graduate	(1967)
198	Nikita (La Femme Nikita) (1990)	/title/tt0100263/?ref_=fn_al_tt_1	Nikita	(1990)
199	Bridge on the River Kwai, The (1957)	/title/tt0050212/?ref_=fn_al_tt_1	The Bridge on the River Kwai	(1957)
200	Shining, The (1980)	/title/tt0081505/?ref_=fn_al_tt_1	The Shining	(1980)
201	Evil Dead II (1987)	/title/tt0092991/?ref_=fn_al_tt_1	Evil Dead II	(1987)
202	Groundhog Day (1993)	/title/tt0107048/?ref_=fn_al_tt_1	Groundhog Day	(1993)
203	Unforgiven (1992)	/title/tt0105695/?ref_=fn_al_tt_1	Unforgiven	(1992)
204	Back to the Future (1985)	/title/tt0088763/?ref_=fn_al_tt_1	Back to the Future	(1985)
205	Patton (1970)	/title/tt0066206/?ref_=fn_al_tt_1	Patton	(1970)
206	Akira (1988)	/title/tt0094625/?ref_=fn_al_tt_1	Akira	(1988)
207	Cyrano de Bergerac (1990)	/title/tt0099334/?ref_=fn_al_tt_1	Cyrano de Bergerac	(1990)
208	Young Frankenstein (1974)	/title/tt0072431/?ref_=fn_al_tt_1	Young Frankenstein	(1974)
209	This Is Spinal Tap (1984)	/title/tt0088258/?ref_=fn_al_tt_1	This Is Spinal Tap	(1984)
210	Indiana Jones and the Last Crusade (1989)	/title/tt0097576/?ref_=fn_al_tt_1	Indiana Jones and the Last Crusade	(1989)
211	M*A*S*H (1970)	/title/tt0066026/?ref_=fn_al_tt_1	MASH	(1970)
212	Unbearable Lightness of Being, The (1988)	/title/tt0096332/?ref_=fn_al_tt_1	The Unbearable Lightness of Being	(1988)
213	Room with a View, A (1986)	/title/tt0707877/?ref_=fn_al_tt_1	A Room with a View
214	Pink Floyd - The Wall (1982)	/title/tt0084503/?ref_=fn_al_tt_1	Pink Floyd: The Wall	(1982)
215	Field of Dreams (1989)	/title/tt0097351/?ref_=fn_al_tt_1	Field of Dreams	(1989)
216	When Harry Met Sally... (1989)	/title/tt0098635/?ref_=fn_al_tt_1	When Harry Met Sally...	(1989)
217	Bram Stoker's Dracula (1992)	/title/tt0103874/?ref_=fn_al_tt_1	Dracula	(1992)
218	Cape Fear (1991)	/title/tt0101540/?ref_=fn_al_tt_1	Cape Fear	(1991)
219	Nightmare on Elm Street, A (1984)	/title/tt0087800/?ref_=fn_al_tt_1	A Nightmare on Elm Street	(1984)
220	Mirror Has Two Faces, The (1996)	/title/tt0117057/?ref_=fn_al_tt_1	The Mirror Has Two Faces	(1996)
221	Breaking the Waves (1996)	/title/tt0115751/?ref_=fn_al_tt_1	Breaking the Waves	(1996)
222	Star Trek: First Contact (1996)	/title/tt0117731/?ref_=fn_al_tt_1	Star Trek: First Contact	(1996)
223	Sling Blade (1996)	/title/tt0117666/?ref_=fn_al_tt_1	Sling Blade	(1996)
224	Ridicule (1996)	/title/tt0117477/?ref_=fn_al_tt_1	Ridicule	(1996)
225	101 Dalmatians (1996)	/title/tt0115433/?ref_=fn_al_tt_1	101 Dalmatians	(1996)
226	Die Hard 2 (1990)	/title/tt0099423/?ref_=fn_al_tt_1	Die Hard 2	(1990)
227	Star Trek VI: The Undiscovered Country (1991)	/title/tt0102975/?ref_=fn_al_tt_1	Star Trek VI: The Undiscovered Country	(1991)
228	Star Trek: The Wrath of Khan (1982)	/title/tt0084726/?ref_=fn_al_tt_1	Star Trek II: The Wrath of Khan	(1982)
229	Star Trek III: The Search for Spock (1984)	/title/tt0088170/?ref_=fn_al_tt_1	Star Trek III: The Search for Spock	(1984)
230	Star Trek IV: The Voyage Home (1986)	/title/tt0092007/?ref_=fn_al_tt_1	Star Trek IV: The Voyage Home	(1986)
231	Batman Returns (1992)	/title/tt0103776/?ref_=fn_al_tt_1	Batman Returns	(1992)
232	Young Guns (1988)	/title/tt0096487/?ref_=fn_al_tt_1	Young Guns	(1988)
233	Under Siege (1992)	/title/tt0105690/?ref_=fn_al_tt_1	Under Siege	(1992)
234	Jaws (1975)	/title/tt0073195/?ref_=fn_al_tt_1	Jaws	(1975)
235	Mars Attacks! (1996)	/title/tt0116996/?ref_=fn_al_tt_1	Mars Attacks!	(1996)
236	Citizen Ruth (1996)	/title/tt0115906/?ref_=fn_al_tt_1	Citizen Ruth	(1996)
237	Jerry Maguire (1996)	/title/tt0116695/?ref_=fn_al_tt_1	Jerry Maguire	(1996)
238	Raising Arizona (1987)	/title/tt0093822/?ref_=fn_al_tt_1	Raising Arizona	(1987)
239	Sneakers (1992)	/title/tt0105435/?ref_=fn_al_tt_1	Sneakers	(1992)
240	Beavis and Butt-head Do America (1996)	/title/tt0115641/?ref_=fn_al_tt_1	Beavis and Butt-Head Do America	(1996)
241	Last of the Mohicans, The (1992)	/title/tt0104691/?ref_=fn_al_tt_1	The Last of the Mohicans	(1992)
242	Kolya (1996)	/title/tt0116790/?ref_=fn_al_tt_1	Kolja	(1996)
243	Jungle2Jungle (1997)	/title/tt0119432/?ref_=fn_al_tt_1	None	None
244	Smilla's Sense of Snow (1997)	/title/tt0120152/?ref_=fn_al_tt_1	Smilla's Sense of Snow	(1997)
245	Devil's Own, The (1997)	/title/tt0118972/?ref_=fn_al_tt_1	The Devil's Own	(1997)
246	Chasing Amy (1997)	/title/tt0118842/?ref_=fn_al_tt_1	Chasing Amy	(1997)
247	Turbo: A Power Rangers Movie (1997)	/title/tt0120389/?ref_=fn_al_tt_1	Turbo: A Power Rangers Movie	(1997)
248	Grosse Pointe Blank (1997)	/title/tt0119229/?ref_=fn_al_tt_1	Grosse Pointe Blank	(1997)
249	Austin Powers: International Man of Mystery (1997)	/title/tt0118655/?ref_=fn_al_tt_1	Austin Powers: International Man of Mystery	(1997)
250	Fifth Element, The (1997)	/title/tt0119116/?ref_=fn_al_tt_1	The Fifth Element	(1997)
251	Shall We Dance? (1996)	/title/tt0117615/?ref_=fn_al_tt_1	Shall we dansu?	(1996)
252	Lost World: Jurassic Park, The (1997)	/title/tt0119567/?ref_=fn_al_tt_1	The Lost World: Jurassic Park	(1997)
253	Pillow Book, The (1995)	/title/tt6166230/?ref_=fn_al_tt_1	Con Air/Bliss/Buddy/The Pillow Book/The Quiet Room
254	Batman & Robin (1997)	/title/tt0118688/?ref_=fn_al_tt_1	Batman & Robin	(1997)
255	My Best Friend's Wedding (1997)	/title/tt0119738/?ref_=fn_al_tt_1	My Best Friend's Wedding	(1997)
256	When the Cats Away (Chacun cherche son chat) (1996)	/title/tt0115856/?ref_=fn_al_tt_1	Chacun cherche son chat	(1996)
